#---
dir	_Road_
#---
path	road	West Access - Trail I	trail
-52,-191,M,
-49,-191,
-46,-192,
-43,-191,
-34,-186,
-28,-187,
-26,-190,
-21,-201,
-20,-202,
-19,-203,
-17,-205,
-16,-210,
-17,-214,
-24,-216,
-26,-218,
-27,-219,
-25,-222,
-17,-229,
-15,-228,
-13,-226,
-8,-227,
-5,-227,
4,-224,
5,-224,
7,-226,
7,-230,
6,-230,
6,-232,
6,-234,
5,-235,
3,-236,
2,-238,
1,-240,
1,-242,
2,-240,
2,-249,
-2,-251,
-3,-250,
-5,-247,
-8,-245,
-13,-246,
-17,-245,
-21,-243,
-22,-244,
-24,-248,
-26,-250,
#---
path	road	South Plains - Waterfall Road
84,-110,M,
79,-115,
78,-119,
77,-120,
72,-122,
71,-120,
71,-117,
68,-115,
66,-117,
61,-124,
61,-126,
60,-129,
58,-129,
58,-129,
#---
path	road	Delta West Gate Road
28,94,M,
29,91,
29,87,
28,85,
24,78,
24,75,
26,63,
26,61,
24,58,
20,56,
15,57,
13,39,
13,24,
8,13,
8,8,
10,2,
13,-8,
20,-7,
25,-10,
26,-12,
27,-17,
32,-26,
33,-28,
37,-29,
35,-36,
36,-42,
34,-50,
36,-55,
35,-58,
33,-64,
34,-73,
37,-75,
44,-75,
47,-80,
45,-93,
48,-96,
50,-96,
64,-95,
66,-96,
67,-98,
69,-102,
69,-104,
71,-105,
75,-106,
80,-105,
84,-108,
84,-116,
82,-124,
77,-129,
76,-131,
76,-135,
78,-138,
80,-141,
84,-142,
84,-142,* 追加しました
#---
path	road	Delta Jungle - North Road
-51,292,M,
-51,291,
-54,294,
-60,298,
-67,299,
-70,298,
-72,297,
-75,296,
-78,300,
-81,308,
-80,310,
-78,313,
-78,316,
-76,319,
-77,321,
-77,321,* 追加しました
#---
path	road	Delta Jungle - River Road North
-38,298,M,
-42,291,
-47,290,
-51,292,
-54,291,
-58,276,
-61,272,
-68,264,
-73,264,
-76,261,
-81,255,
-89,253,
-92,250,
-91,247,
-91,247,* 追加しました
#---
path	road	East Lake - Delta Jungle Road
-70,369,M,
-68,366,
-63,366,
-63,364,
-54,361,
-48,358,
-43,354,
-43,348,
-41,341,
-42,340,
-44,337,
-45,334,
-43,326,
-42,322,
-42,315,
-41,309,
-38,301,
-37,301,
-38,298,
-38,298,* 追加しました
#---
path	road	West Rail - Landslid Road
-70,-251,M,
-72,-256,
-69,-259,
-67,-262,
-59,-268,
-54,-276,
-39,-286,
-32,-294,
-31,-300,
-26,-305,
-24,-313,
-20,-314,
-15,-312,
-10,-312,
-3,-308,
11,-308,
14,-306,
15,-303,
15,-299,
15,-299,
14,-293,
16,-288,
19,-284,
20,-277,
18,-268,
18,-258,
25,-250,
27,-246,
28,-235,
29,-232,
29,-232,
29,-228,
20,-226,
17,-223,
13,-220,
13,-217,
23,-217,
25,-214,
20,-208,
21,-203,
20,-197,
19,-191,
15,-185,
15,-185,* 追加しました
#---
path	road	Delta - Central jungle road II
-31,129,M,
-35,126,
-35,126,
-43,125,
-48,124,
-48,124,
-52,116,
-58,111,
-63,109,
-70,112,
-74,110,
-79,107,
-79,107,* 追加しました
#---
path	road	Delta - Site L11 Road
99,31,M,
97,34,
94,36,
90,34,
86,31,
80,31,
77,32,
75,35,
75,39,
77,43,
81,43,
84,44,
88,43,
90,45,
91,47,
90,51,
90,53,
92,55,
92,59,
88,62,
84,64,
82,62,
83,71,
80,74,
80,74,
77,71,
80,66,
80,61,
78,58,
74,57,
72,58,
70,60,
69,65,
66,70,
59,75,
52,79,
51,82,
50,88,
47,91,
45,95,
45,102,
44,104,
41,106,
33,107,
30,109,
27,112,
24,117,
18,120,
10,118,
2,120,
-8,116,
-16,117,
-20,119,
-25,125,
-31,129,
-33,132,
-36,139,
-42,142,
-45,146,
-46,155,
-53,165,
-53,168,
-53,168,* 追加しました
#---
